Plato,SG
0.5,1.002
1,1.004
1.5,1.006
2,1.008
2.5,1.010
3,1.012
3.5,1.014
4,1.016
4.5,1.018
5,1.020
5.5,1.022
6,1.024
6.5,1.026
7,1.028
7.5,1.030
8,1.032
8.5,1.034
9,1.036
9.5,1.038
10,1.040
10.5,1.042
11,1.044
11.5,1.046
12,1.048
12.5,1.050
13,1.053
13.5,1.055
14,1.057
14.5,1.059
15,1.061
15.5,1.063
16,1.065
16.5,1.068
17,1.070
17.5,1.072
18,1.074
18.5,1.076
19,1.079
19.5,1.081
20,1.083
20.5,1.085
21,1.087
21.5,1.090
22,1.092
22.5,1.094
23,1.096
23.5,1.099
24,1.101
24.5,1.103
25,1.106
25.5,1.108
26,1.110
26.5,1.113
27,1.115
27.5,1.117
28,1.120
28.5,1.122
29,1.124
29.5,1.127
30,1.129
30.5,1.132
31,1.134
31.5,1.136
32,1.139
32.5,1.141
33,1.144
33.5,1.146
34,1.149
34.5,1.151
35,1.154
35.5,1.156
36,1.159
36.5,1.161
37,1.164
37.5,1.166
38,1.169
38.5,1.171
39,1.174
39.5,1.176
40,1.179
